source,target,length,relation,
2,1,150,r_dns_a,
3,1,150,r_dns_a,
4,1,150,r_dns_a,
2,5,150,r_dns_a,
2,6,150,r_cert,
3,7,150,r_dns_a,
3,8,150,r_cert,
4,9,150,r_dns_a,
4,10,150,r_cert,
1,11,60,r_cidr,
12,1,150,r_dns_a,
13,1,150,r_dns_a,
14,1,150,r_dns_a,
15,1,150,r_dns_a,
16,1,150,r_dns_a,
17,1,150,r_dns_a,
18,1,150,r_dns_a,
19,1,150,r_dns_a,
20,1,150,r_dns_a,
21,1,150,r_dns_a,
22,1,150,r_dns_a,
23,1,150,r_dns_a,
24,1,150,r_dns_a,
25,1,150,r_dns_a,
26,1,150,r_dns_a,
1,27,60,r_asn,
5,11,60,r_cidr,
28,5,150,r_dns_a,
29,5,150,r_dns_a,
30,5,150,r_dns_a,
31,5,150,r_dns_a,
32,5,150,r_dns_a,
33,5,150,r_dns_a,
34,5,150,r_dns_a,
35,5,150,r_dns_a,
36,5,150,r_dns_a,
21,5,150,r_dns_a,
37,5,150,r_dns_a,
38,5,150,r_dns_a,
39,5,150,r_dns_a,
40,5,150,r_dns_a,
41,5,150,r_dns_a,
42,5,150,r_dns_a,
43,5,150,r_dns_a,
24,5,150,r_dns_a,
7,11,60,r_cidr,
44,7,150,r_dns_a,
45,7,150,r_dns_a,
46,7,150,r_dns_a,
13,7,150,r_dns_a,
47,7,150,r_dns_a,
48,7,150,r_dns_a,
49,7,150,r_dns_a,
50,7,150,r_dns_a,
51,7,150,r_dns_a,
52,7,150,r_dns_a,
53,7,150,r_dns_a,
54,7,150,r_dns_a,
55,7,150,r_dns_a,
56,7,150,r_dns_a,
57,7,150,r_dns_a,
58,7,150,r_dns_a,
59,7,150,r_dns_a,
7,27,60,r_asn,
9,11,60,r_cidr,
60,9,150,r_dns_a,
61,9,150,r_dns_a,
62,9,150,r_dns_a,
63,9,150,r_dns_a,
64,9,150,r_dns_a,
65,9,150,r_dns_a,
66,9,150,r_dns_a,
67,9,150,r_dns_a,
68,9,150,r_dns_a,
69,9,150,r_dns_a,
70,9,150,r_dns_a,
71,9,150,r_dns_a,
72,9,150,r_dns_a,
73,9,150,r_dns_a,
74,9,150,r_dns_a,
75,9,150,r_dns_a,
76,9,150,r_dns_a,
77,9,150,r_dns_a,
15,78,150,r_dns_a,
15,79,150,r_cert,
6,80,60,r_certchain,
8,80,60,r_certchain,
10,80,60,r_certchain,
79,80,60,r_certchain,
12,81,150,r_dns_a,
12,82,150,r_cert,
14,83,150,r_dns_a,
16,84,150,r_dns_a,
16,85,150,r_cert,
17,86,150,r_dns_a,
17,87,150,r_cert,
18,88,150,r_dns_a,
18,89,150,r_cert,
19,90,150,r_dns_a,
19,91,150,r_cert,
20,92,150,r_dns_a,
20,93,150,r_cert,
21,94,150,r_cert,
22,83,150,r_dns_a,
22,95,150,r_cert,
96,9,150,r_dns_a,
97,9,150,r_dns_a,
98,9,150,r_dns_a,
9,27,60,r_asn,
5,27,60,r_asn,
78,11,60,r_cidr,
99,78,150,r_dns_a,
100,78,150,r_dns_a,
101,78,150,r_dns_a,
102,78,150,r_dns_a,
103,78,150,r_dns_a,
104,78,150,r_dns_a,
105,78,150,r_dns_a,
106,78,150,r_dns_a,
107,78,150,r_dns_a,
