id,x,y,k,
1,302.091627,11.758001,3,
2,279.093858,-206.292687,2,
3,258.082487,54.897457,3,
4,249.594543,40.220892,3,
5,301.931852,-39.864778,3,
6,35.901097,9.777351,8,
7,46.524243,-33.956642,9,
8,12.982202,3.293130,9,
9,39.834226,2.403203,8,
10,20.997209,-32.860915,9,
11,18.090967,-27.550211,9,
12,36.705126,9.983651,8,
13,-37.497307,-3.378709,9,
14,171.350779,26.836935,3,
15,0.542009,29.038298,9,
16,-34.266507,-8.141239,9,
17,-37.890991,-89.933949,7,
18,-23.312578,-95.745152,7,
19,-56.955417,45.074094,7,
20,-68.200840,-43.121082,7,
21,11.456510,78.966864,7,
22,-69.872105,4.468621,7,
23,-55.863788,-72.803912,7,
24,-40.261118,61.797666,7,
25,52.694111,-101.682824,6,
26,-13.698020,14.263523,9,
27,-3.487020,-68.493538,7,
28,44.065443,-112.791270,6,
29,164.268077,28.718191,5,
30,63.901073,-40.758812,7,
31,23.637082,8.671778,9,
32,22.416425,31.088058,9,
33,152.191916,134.618639,4,
34,74.259708,-138.999785,6,
35,-6.607253,110.579884,6,
36,170.568464,119.231057,4,
37,-50.156519,111.940981,6,
38,16.987222,-155.702696,6,
39,82.839653,165.508535,4,
40,195.358404,-31.319060,5,
41,184.084986,32.840311,5,
42,156.038369,103.330139,5,
43,175.208758,113.691107,2,
44,130.084504,-10.835815,6,
45,46.392902,12.009094,9,
46,135.891450,135.976657,3,
47,-16.457506,-45.688469,9,
48,121.720704,26.275766,6,
49,86.036853,-95.725645,6,
50,173.946213,44.873365,2,
51,30.280351,20.106509,9,
52,35.652609,45.165284,9,
53,220.394527,111.391011,2,
54,20.388245,111.916531,6,
55,53.240099,117.597065,6,
56,249.195429,41.922488,3,
57,165.667792,44.360166,5,
58,259.251409,179.763694,2,
59,157.641679,179.089200,3,
60,-76.621940,-20.471415,7,
61,-55.960607,46.334142,7,
62,172.943741,134.267558,2,
63,-44.752863,-84.422354,7,
64,153.995500,151.893439,2,
65,188.573607,152.285935,2,
66,-71.980519,-31.042481,7,
67,-76.554644,-21.298054,7,
68,-95.876617,-10.549600,5,
69,-73.853899,10.701501,7,
70,118.497835,175.594982,2,
71,21.956978,74.636471,7,
72,115.156665,177.334076,2,
73,-60.969948,39.494339,7,
74,-115.976159,-72.151592,5,
75,-107.607727,-95.807893,5,
76,-30.760741,61.300116,7,
77,49.841455,76.395403,7,
78,128.825867,169.729362,2,
79,-37.113943,64.145522,7,
80,-29.645436,68.969411,7,
81,13.986872,-179.411250,5,
82,90.132528,162.696035,3,
83,-109.504525,-119.776130,5,
84,75.428439,217.362910,2,
85,-105.549092,-144.709005,5,
86,-124.259339,-104.697428,5,
87,-6.953862,-172.219403,5,
88,-21.323602,-29.033008,9,
89,-131.837353,-85.040641,5,
90,73.481732,160.331567,5,
91,-21.509844,169.219464,5,
92,-124.120164,90.121556,5,
93,196.142071,-6.046630,5,
94,-48.636336,239.464099,2,
95,158.821045,168.306683,3,
96,0.178369,73.216455,7,
97,6.261098,77.112316,6,
98,80.342138,207.870128,3,
99,19.216387,167.363069,5,
100,137.306255,-56.141999,6,
