source,target,
48,47,38.729002,
51,13,38.763250,
13,8,38.769735,
52,16,38.821421,
119,52,38.868222,
26,16,38.869064,
45,44,38.871003,
26,8,38.888644,
218,16,38.990545,
267,242,39.024841,
88,8,39.040412,
106,35,39.078767,
15,7,39.108149,
103,8,39.154943,
628,242,39.184092,
189,184,39.264239,
66,18,39.313559,
278,121,39.314088,
502,230,39.321525,
548,257,39.326449,
360,45,39.332306,
80,79,39.359844,
71,18,39.367965,
177,45,39.393936,
458,457,39.417445,
682,633,39.451483,
23,20,39.451658,
192,184,39.451658,
217,216,39.451658,
35,34,39.455958,
31,25,39.464956,
244,106,39.487781,
282,257,39.513619,
273,11,39.513693,
211,16,39.514074,
192,186,39.519085,
161,158,39.519826,
120,71,39.554148,
646,273,39.554805,
38,35,39.566083,
518,516,39.573746,
97,89,39.575678,
97,93,39.575678,
219,55,39.575678,
195,192,39.579132,
223,54,39.592803,
665,664,39.599584,
731,730,39.599584,
115,107,39.604990,
177,162,39.620588,
77,67,39.621586,
86,83,39.627243,
192,191,39.627265,
646,16,39.627610,
518,502,39.631262,
88,71,39.638877,
275,15,39.641733,
544,7,39.654072,
219,54,39.657261,
230,54,39.657261,
667,665,39.665318,
11,6,39.666474,
340,257,39.670686,
562,561,39.672185,
76,21,39.680567,
521,519,39.681806,
515,502,39.694599,
66,21,39.701334,
248,143,39.701753,
435,143,39.702401,
16,7,39.710329,
704,703,39.714683,
773,772,39.714683,
193,186,39.729891,
452,106,39.736188,
60,18,39.757397,
457,173,39.763770,
612,611,39.765681,
519,502,39.770171,
239,237,39.780687,
464,192,39.784790,
268,242,39.798175,
37,35,39.817741,
66,61,39.824065,
77,61,39.824065,
505,230,39.833414,
245,241,39.846672,
772,556,39.846672,
344,211,39.850740,
291,213,39.870034,
438,435,39.880965,
262,238,39.887108,
211,143,39.888539,
226,54,39.890625,
216,16,39.901389,
131,124,39.902119,
221,219,39.902119,
192,190,39.903533,
213,16,39.910214,
69,66,39.914253,
32,30,39.924433,
253,16,39.925191,
194,191,39.933430,
86,81,39.963707,
243,242,39.968749,
270,266,39.969004,
527,524,39.969004,
24,18,39.970993,
214,52,39.975110,
79,60,39.976120,
447,145,39.983137,
509,502,39.994861,
141,38,39.998721,
105,16,40.014229,
245,141,40.014365,
96,21,40.018152,
471,468,40.021879,
332,101,40.025039,
16,10,40.041268,
124,71,40.048351,
570,40,40.054893,
52,31,40.104311,
333,52,40.104311,
618,616,40.109709,
468,374,40.120783,
452,451,40.127278,
669,665,40.129068,
66,20,40.130454,
432,429,40.138260,
296,52,40.141460,
304,52,40.141460,
320,52,40.141460,
449,447,40.149129,
306,291,40.176549,
410,211,40.181389,
207,16,40.182757,
341,52,40.192006,
86,71,40.203419,
322,16,40.218060,
258,257,40.231282,
73,20,40.234499,
631,625,40.249813,
110,12,40.257324,
527,526,40.257324,
160,40,40.264987,
90,89,40.265149,
664,561,40.265149,
333,226,40.266415,
99,90,40.270642,
402,392,40.270642,
666,664,40.270642,
290,16,40.284197,
415,273,40.292672,
461,173,40.293212,
238,235,40.299596,
22,19,40.304479,
308,52,40.312993,
494,12,40.321643,
154,21,40.354928,
562,426,40.386521,
188,8,40.386604,
339,52,40.392028,
368,115,40.394448,
318,290,40.402388,
520,502,40.405867,
521,503,40.410254,
159,40,40.410325,
781,340,40.414451,
31,27,40.433850,
284,16,40.436114,
750,188,40.438110,
278,52,40.441516,
235,15,40.444197,
340,318,40.466466,
734,730,40.469575,
420,404,40.472762,
488,332,40.479041,
788,787,40.485873,
207,45,40.493630,
298,8,40.495274,
346,8,40.495274,
87,71,40.513229,
451,100,40.521526,
633,632,40.524234,
419,71,40.546055,
447,446,40.547839,
240,141,40.575214,
431,291,40.583717,
36,33,40.588038,
629,624,40.588038,
300,52,40.610469,
319,52,40.610469,
493,52,40.610469,
129,124,40.613244,
332,16,40.615750,
231,161,40.642436,
114,112,40.668695,
463,192,40.668695,
638,527,40.668695,
101,97,40.670862,
617,616,40.672682,
640,638,40.672682,
668,664,40.672682,
787,632,40.672682,
557,556,40.677982,
145,144,40.682084,
447,80,40.682094,
260,8,40.682234,
